timestamp,task,event,priority,response_time,execution_time,deadline,result
400,Control_Task,START,4,0,0,50,RUNNING
400,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
414,Control_Task,FINISH,4,0,14,50,PASS
415,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
415,Deadline_Monitor_Task,START,4,15,0,100,RUNNING
424,Deadline_Monitor_Task,FINISH,4,15,9,100,PASS
425,Sensor_Task,CONTEXT_SWITCH,3,0,0,100,INFO
425,Sensor_Task,START,3,25,0,100,RUNNING
425,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
434,Sensor_Task,FINISH,3,25,9,100,PASS
435,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
435,Logger_Task,START,1,35,0,200,RUNNING
435,Logger_Task,MUTEX_LOCK_LOG_BUFFER,1,0,0,200,INFO
435,Logger_Task,LOGGER_WRITE,1,0,0,200,INFO
450,Control_Task,READY,4,0,0,50,INFO
450,Communication_Task,READY,2,0,0,150,INFO
450,Logger_Task,PREEMPTED,1,0,0,200,INFO
450,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
450,Control_Task,START,4,0,0,50,RUNNING
450,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
464,Control_Task,FINISH,4,0,14,50,PASS
465,Communication_Task,CONTEXT_SWITCH,2,0,0,150,INFO
465,Communication_Task,START,2,15,0,150,RUNNING
479,Communication_Task,FINISH,2,15,14,150,PASS
480,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
484,Logger_Task,MUTEX_UNLOCK_LOG_BUFFER,1,35,49,200,INFO
484,Logger_Task,FINISH,1,35,49,200,PASS
500,Control_Task,READY,4,0,0,50,INFO
500,Deadline_Monitor_Task,READY,4,0,0,100,INFO
500,Sensor_Task,READY,3,0,0,100,INFO
500,Fault_Injector_Task,READY,2,0,0,500,INFO
500,Sensor_Task,FIRE_DETECTED,3,0,0,0,INFO
500,Emergency_Task,READY,5,0,0,20,INFO
500,Emergency_Task,CONTEXT_SWITCH,5,0,0,20,INFO
500,Emergency_Task,START,5,0,0,20,RUNNING
509,Emergency_Task,FINISH,5,0,9,20,PASS
510,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
510,Control_Task,START,4,10,0,50,RUNNING
